node_count	openmp_BFS	pthread_BFS	serial_BFS	tholder_BFS
10	0.000457	0.000675	0.000002	0.000877
100	0.001981	0.001037	0.000056	0.000412
1000	0.017412	0.016721	0.000266	0.004465
2000	0.032955	0.017613	0.001118	0.005414
5000	0.076012	0.045279	0.000821	0.003088
10000	0.140487	0.089917	0.001613	0.005585
50000	0.677379	0.442067	0.009325	0.023151
100000	1.224670	0.909280	0.020253	0.041179
500000	6.896460	4.822208	0.145383	0.175574
1000000	11.871831	9.621345	0.337104	0.334758
10000000	147.460706	115.457265	5.467767	3.310771
