size	openmpMergeSort	openmpMergeSortIterative	parallelMergeSort	parallelMergeSortIterative	serialMergeSort	serialMergeSortIterative	tholderMergeSortIterative
100	0.000256	0.000173	0.000455	0.000836	0.000006	0.000001	0.000339
1000	0.000268	0.000192	0.000468	0.001317	0.000069	0.000001	0.000426
10000	0.000450	0.000339	0.000575	0.001935	0.000758	0.000001	0.000625
50000	0.001480	0.001063	0.001263	0.003011	0.004106	0.000001	0.001415
100000	0.002682	0.001977	0.002096	0.004129	0.008589	0.000001	0.002271
200000	0.005274	0.003853	0.003787	0.006416	0.017822	0.000001	0.004254
300000	0.008053	0.005833	0.005522	0.009078	0.027333	0.000001	0.006365
400000	0.010628	0.007641	0.007106	0.011253	0.037120	0.000001	0.008307
500000	0.013599	0.009715	0.008871	0.013717	0.047010	0.000001	0.010503
600000	0.016151	0.011712	0.010587	0.016257	0.056994	0.000001	0.012796
