array_size,program_name,num_threads,min_parallel_size,thread_stack_size,time
100,serialMergeSort,1,0,0,6484.13
100,parallelMergeSort,6,1,1048576,463729.42
100,openmpMergeSort,6,1,1048576,246338.83
100,openmpMergeSortIterative,6,1,1048576,167157.61
100,parallelMergeSortIterative,6,1,1048576,791560.41
100,tholderMergeSortIterative,6,1,1048576,349065.96
100,serialMergeSortIterative,6,1,1048576,574.89
1000,serialMergeSort,1,0,0,71998.1
1000,parallelMergeSort,6,1,1048576,468444.2
1000,openmpMergeSort,6,1,1048576,268999.42
1000,openmpMergeSortIterative,6,1,1048576,196614.78
1000,parallelMergeSortIterative,6,1,1048576,1268932.98
1000,tholderMergeSortIterative,6,1,1048576,397898.55
1000,serialMergeSortIterative,6,1,1048576,574.99
10000,serialMergeSort,1,0,0,765216.16
10000,parallelMergeSort,6,1,1048576,572682.78
10000,openmpMergeSort,6,1,1048576,459688.45
10000,openmpMergeSortIterative,6,1,1048576,344514.69
10000,parallelMergeSortIterative,6,1,1048576,1912274.78
10000,tholderMergeSortIterative,6,1,1048576,611069.97
10000,serialMergeSortIterative,6,1,1048576,570.2
50000,serialMergeSort,1,0,0,4097085.26
50000,parallelMergeSort,6,1,1048576,1252710.41
50000,openmpMergeSort,6,1,1048576,1453017.05
50000,openmpMergeSortIterative,6,1,1048576,1058987.86
50000,parallelMergeSortIterative,6,1,1048576,3051623.36
50000,tholderMergeSortIterative,6,1,1048576,1379411.43
50000,serialMergeSortIterative,6,1,1048576,636.75
50000,serialMergeSort,1,0,0,4111353.02
50000,parallelMergeSort,6,1,1048576,1248385.36
50000,openmpMergeSort,6,1,1048576,1466978.38
50000,openmpMergeSortIterative,6,1,1048576,1038297.28
50000,parallelMergeSortIterative,6,1,1048576,2949706.41
50000,tholderMergeSortIterative,6,1,1048576,1419674.02
50000,serialMergeSortIterative,6,1,1048576,582.66
100000,serialMergeSort,1,0,0,8572533.75
100000,parallelMergeSort,6,1,1048576,2112272.8
100000,openmpMergeSort,6,1,1048576,2676023.75
100000,openmpMergeSortIterative,6,1,1048576,1977131.78
100000,parallelMergeSortIterative,6,1,1048576,4036687.3
100000,tholderMergeSortIterative,6,1,1048576,2301299.35
100000,serialMergeSortIterative,6,1,1048576,579.97
