array_size,program_name,num_threads,min_parallel_size,thread_stack_size,time
100,serialMergeSort,1,0,0,11194.0
100,parallelMergeSort,8,50,1048576,188670.2
100,openmpMergeSort,8,50,1048576,484762.8
1000,serialMergeSort,1,0,0,120173.0
1000,parallelMergeSort,8,50,1048576,1086910.6
1000,openmpMergeSort,8,50,1048576,922257.6
100000,serialMergeSort,1,0,0,14547038.2
100000,parallelMergeSort,8,50,1048576,106476445.2
100000,openmpMergeSort,8,50,1048576,4923153.0
1000000,serialMergeSort,1,0,0,158827632.8
1000000,parallelMergeSort,8,50,1048576,148215954.2
1000000,openmpMergeSort,8,50,1048576,49359327.8
100,serialMergeSort,1,0,0,11136.0
100,parallelMergeSort,8,50,1048576,191683.0
100,openmpMergeSort,8,50,1048576,714307.4
1000,serialMergeSort,1,0,0,118036.6
1000,parallelMergeSort,8,50,1048576,1551426.6
1000,openmpMergeSort,8,50,1048576,1221041.2
100000,serialMergeSort,1,0,0,14861693.8
100000,parallelMergeSort,8,50,1048576,6285875.8
100000,openmpMergeSort,8,50,1048576,5591649.2
1000000,serialMergeSort,1,0,0,160139554.2
1000000,parallelMergeSort,8,50,1048576,47896419.2
1000000,openmpMergeSort,8,50,1048576,46089134.4
100,serialMergeSort,1,0,0,10454.6
100,parallelMergeSort,8,50,1048576,207197.6
100,openmpMergeSort,8,50,1048576,320928.6
1000,serialMergeSort,1,0,0,106191.8
1000,parallelMergeSort,8,50,1048576,1089423.8
1000,openmpMergeSort,8,50,1048576,658403.8
100000,serialMergeSort,1,0,0,14848821.0
100000,parallelMergeSort,8,50,1048576,5570361.4
100000,openmpMergeSort,8,50,1048576,5040670.2
1000000,serialMergeSort,1,0,0,159264599.4
1000000,parallelMergeSort,8,50,1048576,48837912.4
1000000,openmpMergeSort,8,50,1048576,50760934.6
100,serialMergeSort,1,0,0,11179.2
100,parallelMergeSort,8,50,1048576,192982.0
100,openmpMergeSort,8,50,1048576,567580.6
1000,serialMergeSort,1,0,0,114841.8
1000,parallelMergeSort,8,50,1048576,1361440.0
1000,openmpMergeSort,8,50,1048576,735068.2
100000,serialMergeSort,1,0,0,15370945.6
100000,parallelMergeSort,8,50,1048576,6076106.2
100000,openmpMergeSort,8,50,1048576,5144597.6
1000000,serialMergeSort,1,0,0,161429995.2
1000000,parallelMergeSort,8,50,1048576,147151578.6
1000000,openmpMergeSort,8,50,1048576,47821209.2
100,serialMergeSort,1,0,0,13335.8
100,parallelMergeSort,8,50,1048576,179541.0
100,openmpMergeSort,8,50,1048576,646815.4
1000,serialMergeSort,1,0,0,119312.2
1000,parallelMergeSort,8,50,1048576,2088478.2
1000,openmpMergeSort,8,50,1048576,723707.8
100000,serialMergeSort,1,0,0,15196782.2
100000,parallelMergeSort,8,50,1048576,5626051.2
100000,openmpMergeSort,8,50,1048576,5208615.6
1000000,serialMergeSort,1,0,0,160956381.8
1000000,parallelMergeSort,8,50,1048576,47998823.4
1000000,openmpMergeSort,8,50,1048576,48502555.6
100,serialMergeSort,1,0,0,11179.4
100,parallelMergeSort,8,50,1048576,179629.6
100,openmpMergeSort,8,50,1048576,658557.8
1000,serialMergeSort,1,0,0,121580.6
1000,parallelMergeSort,8,50,1048576,1458922.0
1000,openmpMergeSort,8,50,1048576,524044.6
100000,serialMergeSort,1,0,0,14702084.2
100000,parallelMergeSort,8,50,1048576,5679933.8
100000,openmpMergeSort,8,50,1048576,5623847.0
1000000,serialMergeSort,1,0,0,159453209.2
1000000,parallelMergeSort,8,50,1048576,47824354.6
1000000,openmpMergeSort,8,50,1048576,51320081.8
100,serialMergeSort,1,0,0,10719.0
100,parallelMergeSort,8,50,1048576,167800.8
100,openmpMergeSort,8,50,1048576,378132.1
1000,serialMergeSort,1,0,0,117320.0
1000,parallelMergeSort,8,50,1048576,986248.0
