array_size,program_name,num_threads,min_parallel_size,thread_stack_size,time
5,serialMergeSort,1,0,0,1415.27
5,parallelMergeSort,6,1,1048576,6870616.75
5,openmpMergeSort,6,1,1048576,555709.62
10,serialMergeSort,1,0,0,2034.33
10,parallelMergeSort,6,1,1048576,3674777.36
10,openmpMergeSort,6,1,1048576,774265.21
15,serialMergeSort,1,0,0,2269.88
15,parallelMergeSort,6,1,1048576,1549423.4
15,openmpMergeSort,6,1,1048576,505213.87
20,serialMergeSort,1,0,0,3630.79
20,parallelMergeSort,6,1,1048576,6416624.26
20,openmpMergeSort,6,1,1048576,1062411.04
30,serialMergeSort,1,0,0,4527.48
30,parallelMergeSort,6,1,1048576,6708885.98
30,openmpMergeSort,6,1,1048576,920722.61
40,serialMergeSort,1,0,0,5975.43
40,parallelMergeSort,6,1,1048576,1279161.5
40,openmpMergeSort,6,1,1048576,664527.89
60,serialMergeSort,1,0,0,9241.11
60,parallelMergeSort,6,1,1048576,6957793.01
60,openmpMergeSort,6,1,1048576,594902.57
80,serialMergeSort,1,0,0,12330.4
80,parallelMergeSort,6,1,1048576,1541735.08
80,openmpMergeSort,6,1,1048576,704162.2
100,serialMergeSort,1,0,0,17244.85
100,parallelMergeSort,6,1,1048576,1355288.02
100,openmpMergeSort,6,1,1048576,544027.92
5,serialMergeSort,1,0,0,1174.19
5,parallelMergeSort,6,1,1048576,906078.94
5,openmpMergeSort,6,1,1048576,668065.58
10,serialMergeSort,1,0,0,1631.86
10,parallelMergeSort,6,1,1048576,6477494.68
10,openmpMergeSort,6,1,1048576,711186.36
15,serialMergeSort,1,0,0,2623.83
15,parallelMergeSort,6,1,1048576,1465100.15
15,openmpMergeSort,6,1,1048576,579703.62
20,serialMergeSort,1,0,0,3815.24
20,parallelMergeSort,6,1,1048576,6612989.14
20,openmpMergeSort,6,1,1048576,916173.65
30,serialMergeSort,1,0,0,4541.63
30,parallelMergeSort,6,1,1048576,1447086.16
30,openmpMergeSort,6,1,1048576,598347.53
40,serialMergeSort,1,0,0,6900.21
40,parallelMergeSort,6,1,1048576,1401222.5
40,openmpMergeSort,6,1,1048576,703780.89
5,serialMergeSort,1,0,0,1292.17
5,parallelMergeSort,6,1,1048576,1605861.82
5,openmpMergeSort,6,1,1048576,845054.31
10,serialMergeSort,1,0,0,1998.99
10,parallelMergeSort,6,1,1048576,15987354.58
10,openmpMergeSort,6,1,1048576,793425.69
15,serialMergeSort,1,0,0,2422.18
15,parallelMergeSort,6,1,1048576,6280824.7
15,openmpMergeSort,6,1,1048576,888030.73
20,serialMergeSort,1,0,0,6164.51
20,parallelMergeSort,6,1,1048576,5363743.39
20,openmpMergeSort,6,1,1048576,669970.3
30,serialMergeSort,1,0,0,5300.28
30,parallelMergeSort,6,1,1048576,1839663.09
30,openmpMergeSort,6,1,1048576,676576.7
40,serialMergeSort,1,0,0,8184.72
40,parallelMergeSort,6,1,1048576,1955610.48
40,openmpMergeSort,6,1,1048576,532433.16
1,serialMergeSort,1,0,0,147.47
1,parallelMergeSort,6,1,1048576,196.87
1,openmpMergeSort,6,1,1048576,680040.21
5,serialMergeSort,1,0,0,1586.96
5,parallelMergeSort,6,1,1048576,1604473.32
5,openmpMergeSort,6,1,1048576,1090595.86
10,serialMergeSort,1,0,0,1512.95
10,parallelMergeSort,6,1,1048576,7229139.77
10,openmpMergeSort,6,1,1048576,638226.32
50,serialMergeSort,1,0,0,8774.93
50,parallelMergeSort,6,1,1048576,7617445.83
50,openmpMergeSort,6,1,1048576,677793.83
100,serialMergeSort,1,0,0,22044.4
100,parallelMergeSort,6,1,1048576,3890811.15
100,openmpMergeSort,6,1,1048576,437038.79
500,serialMergeSort,1,0,0,89270.28
500,parallelMergeSort,6,1,1048576,5826930.42
500,openmpMergeSort,6,1,1048576,690304.58
1000,serialMergeSort,1,0,0,201858.69
1000,parallelMergeSort,6,1,1048576,7898944.82
1000,openmpMergeSort,6,1,1048576,812427.35
1,serialMergeSort,1,0,0,191.764
1,parallelMergeSort,6,1,1048576,190.426
1,openmpMergeSort,6,1,1048576,423027.858
5,serialMergeSort,1,0,0,1580.526
5,parallelMergeSort,6,1,1048576,1353343.12
5,openmpMergeSort,6,1,1048576,497716.802
10,serialMergeSort,1,0,0,1277.651
10,parallelMergeSort,6,1,1048576,3208381.917
10,openmpMergeSort,6,1,1048576,508275.125
50,serialMergeSort,1,0,0,5768.01
50,parallelMergeSort,6,1,1048576,2848960.864
50,openmpMergeSort,6,1,1048576,469298.69
100,serialMergeSort,1,0,0,11661.741
100,parallelMergeSort,6,1,1048576,3803315.4
100,openmpMergeSort,6,1,1048576,542522.292
500,serialMergeSort,1,0,0,58046.767
500,parallelMergeSort,6,1,1048576,3452337.93
500,openmpMergeSort,6,1,1048576,604957.517
1000,serialMergeSort,1,0,0,138444.806
1000,parallelMergeSort,6,1,1048576,1854271.437
1000,openmpMergeSort,6,1,1048576,632361.896
1,serialMergeSort,1,0,0,56.776
1,parallelMergeSort,6,1,1048576,123.424
1,openmpMergeSort,6,1,1048576,345219.597
5,serialMergeSort,1,0,0,591.028
5,parallelMergeSort,6,1,1048576,695819.161
5,openmpMergeSort,6,1,1048576,641811.371
10,serialMergeSort,1,0,0,1210.535
10,parallelMergeSort,6,1,1048576,2992035.384
10,openmpMergeSort,6,1,1048576,517170.356
50,serialMergeSort,1,0,0,5956.707
50,parallelMergeSort,6,1,1048576,4289767.52
50,openmpMergeSort,6,1,1048576,541521.414
100,serialMergeSort,1,0,0,14432.133
100,parallelMergeSort,6,1,1048576,5131985.129
100,openmpMergeSort,6,1,1048576,528748.298
500,serialMergeSort,1,0,0,61503.384
500,parallelMergeSort,6,1,1048576,3050322.153
500,openmpMergeSort,6,1,1048576,562420.938
1000,serialMergeSort,1,0,0,122331.585
1000,parallelMergeSort,6,1,1048576,2986682.551
1000,openmpMergeSort,6,1,1048576,625232.334
5,serialMergeSort,1,0,0,555.44
5,parallelMergeSort,6,1,1048576,728261.5
5,openmpMergeSort,6,1,1048576,573723.31
10,serialMergeSort,1,0,0,1208.07
10,parallelMergeSort,6,1,1048576,1191594.68
10,openmpMergeSort,6,1,1048576,491287.3
15,serialMergeSort,1,0,0,1922.13
15,parallelMergeSort,6,1,1048576,1107529.04
15,openmpMergeSort,6,1,1048576,982306.81
20,serialMergeSort,1,0,0,2416.42
20,parallelMergeSort,6,1,1048576,5854832.87
20,openmpMergeSort,6,1,1048576,475207.35
30,serialMergeSort,1,0,0,3513.22
30,parallelMergeSort,6,1,1048576,1125270.25
30,openmpMergeSort,6,1,1048576,523537.62
40,serialMergeSort,1,0,0,4710.61
40,parallelMergeSort,6,1,1048576,1098620.68
40,openmpMergeSort,6,1,1048576,421892.05
5,serialMergeSort,1,0,0,551.72
5,parallelMergeSort,6,1,1048576,700624.39
5,openmpMergeSort,6,1,1048576,551560.06
10,serialMergeSort,1,0,0,1210.05
10,parallelMergeSort,6,1,1048576,8367992.63
10,openmpMergeSort,6,1,1048576,405189.99
15,serialMergeSort,1,0,0,1788.79
15,parallelMergeSort,6,1,1048576,6420587.7
15,openmpMergeSort,6,1,1048576,639007.61
20,serialMergeSort,1,0,0,2398.95
20,parallelMergeSort,6,1,1048576,1091927.18
20,openmpMergeSort,6,1,1048576,842567.18
30,serialMergeSort,1,0,0,4443.91
30,parallelMergeSort,6,1,1048576,6144229.52
30,openmpMergeSort,6,1,1048576,1043343.88
40,serialMergeSort,1,0,0,4501.24
40,parallelMergeSort,6,1,1048576,7181203.02
40,openmpMergeSort,6,1,1048576,574167.75
5,serialMergeSort,1,0,0,559.29
5,parallelMergeSort,6,1,1048576,678575.85
5,openmpMergeSort,6,1,1048576,348268.96
10,serialMergeSort,1,0,0,1221.6
10,parallelMergeSort,6,1,1048576,6507071.86
10,openmpMergeSort,6,1,1048576,370856.31
15,serialMergeSort,1,0,0,2007.42
15,parallelMergeSort,6,1,1048576,1172196.19
15,openmpMergeSort,6,1,1048576,734458.41
20,serialMergeSort,1,0,0,2391.59
20,parallelMergeSort,6,1,1048576,6260736.14
20,openmpMergeSort,6,1,1048576,600549.29
30,serialMergeSort,1,0,0,3531.59
30,parallelMergeSort,6,1,1048576,1175754.72
30,openmpMergeSort,6,1,1048576,587151.54
40,serialMergeSort,1,0,0,4789.76
40,parallelMergeSort,6,1,1048576,1155901.09
40,openmpMergeSort,6,1,1048576,571343.25
5,serialMergeSort,1,0,0,565.05
5,parallelMergeSort,6,1,1048576,692988.15
5,openmpMergeSort,6,1,1048576,4408570.92
10,serialMergeSort,1,0,0,1368.99
10,parallelMergeSort,6,1,1048576,1171794.74
10,openmpMergeSort,6,1,1048576,437012.0
15,serialMergeSort,1,0,0,1784.83
15,parallelMergeSort,6,1,1048576,1414246.15
15,openmpMergeSort,6,1,1048576,502921.15
20,serialMergeSort,1,0,0,2385.22
20,parallelMergeSort,6,1,1048576,1099973.75
20,openmpMergeSort,6,1,1048576,653592.95
30,serialMergeSort,1,0,0,3478.4
30,parallelMergeSort,6,1,1048576,11289673.6
30,openmpMergeSort,6,1,1048576,422887.93
40,serialMergeSort,1,0,0,4543.12
40,parallelMergeSort,6,1,1048576,1137581.36
40,openmpMergeSort,6,1,1048576,546800.36
5,serialMergeSort,1,0,0,554.56
5,parallelMergeSort,6,1,1048576,5762586.34
5,openmpMergeSort,6,1,1048576,554791.58
10,serialMergeSort,1,0,0,1201.56
10,parallelMergeSort,6,1,1048576,6293968.33
10,openmpMergeSort,6,1,1048576,687189.73
15,serialMergeSort,1,0,0,1756.8
15,parallelMergeSort,6,1,1048576,1150589.11
15,openmpMergeSort,6,1,1048576,574972.7
20,serialMergeSort,1,0,0,2372.61
20,parallelMergeSort,6,1,1048576,1084634.36
20,openmpMergeSort,6,1,1048576,526379.52
30,serialMergeSort,1,0,0,3499.83
30,parallelMergeSort,6,1,1048576,6273209.18
30,openmpMergeSort,6,1,1048576,702123.2
40,serialMergeSort,1,0,0,4718.07
40,parallelMergeSort,6,1,1048576,7142590.91
