array_size,program_name,num_threads,min_parallel_size,thread_stack_size,time
100,serialMergeSort,1,0,0,14932.69
100,parallelMergeSort,6,1,1048576,886280.51
100,openmpMergeSort,6,1,1048576,469577.82
100,openmpMergeSortIterative,6,1,1048576,397961.67
100,parallelMergeSortIterative,6,1,1048576,7422689.43
100,tholderMergeSortIterative,6,1,1048576,8261369.5
100,serialMergeSortIterative,6,1,1048576,388.52
1000,serialMergeSort,1,0,0,145842.23
1000,parallelMergeSort,6,1,1048576,863901.32
1000,openmpMergeSort,6,1,1048576,412130.7
1000,openmpMergeSortIterative,6,1,1048576,881722.1
1000,parallelMergeSortIterative,6,1,1048576,2415105.41
1000,tholderMergeSortIterative,6,1,1048576,1280156.49
1000,serialMergeSortIterative,6,1,1048576,388.5
10000,serialMergeSort,1,0,0,1520368.77
10000,parallelMergeSort,6,1,1048576,1123628.78
10000,openmpMergeSort,6,1,1048576,780856.7
10000,openmpMergeSortIterative,6,1,1048576,481205.34
10000,parallelMergeSortIterative,6,1,1048576,2849939.51
10000,tholderMergeSortIterative,6,1,1048576,10685924.5
10000,serialMergeSortIterative,6,1,1048576,383.45
100000,serialMergeSort,1,0,0,17050287.75
100000,parallelMergeSort,6,1,1048576,3991268.55
100000,openmpMergeSort,6,1,1048576,3707229.54
100000,openmpMergeSortIterative,6,1,1048576,2422012.86
100000,parallelMergeSortIterative,6,1,1048576,6779064.75
100000,tholderMergeSortIterative,6,1,1048576,4811849.3
100000,serialMergeSortIterative,6,1,1048576,412.1
1000000,serialMergeSort,1,0,0,178140511.18
1000000,parallelMergeSort,6,1,1048576,34814063.3
1000000,openmpMergeSort,6,1,1048576,39791616.85
1000000,openmpMergeSortIterative,6,1,1048576,28119240.87
1000000,parallelMergeSortIterative,6,1,1048576,35853303.65
1000000,tholderMergeSortIterative,6,1,1048576,38213785.0
1000000,serialMergeSortIterative,6,1,1048576,389.63
10000000,serialMergeSort,1,0,0,1949297300.11
10000000,parallelMergeSort,6,1,1048576,324373309.56
10000000,openmpMergeSort,6,1,1048576,410380157.72
10000000,openmpMergeSortIterative,6,1,1048576,358560163.12
10000000,parallelMergeSortIterative,6,1,1048576,374722666.12
10000000,tholderMergeSortIterative,6,1,1048576,388012025.79
10000000,serialMergeSortIterative,6,1,1048576,403.56
