size	openmpMergeSort	openmpMergeSortIterative	parallelMergeSort	parallelMergeSortIterative	tholderMergeSortIterative
1000000	0.025528	0.016057	0.019703	0.021065	0.017425
2000000	0.052199	0.032257	0.033724	0.040269	0.034788
3000000	0.079823	0.051177	0.051840	0.058793	0.054725
4000000	0.107168	0.067212	0.072101	0.075462	0.076310
5000000	0.135714	0.089639	0.091217	0.100504	0.098077
6000000	0.162900	0.103940	0.111622	0.117701	0.114869
7000000	0.191968	0.122790	0.129196	0.145014	0.131255
8000000	0.220995	0.137410	0.151065	0.151045	0.147403
9000000	0.255077	0.170236	0.177387	0.192145	0.187508
10000000	0.281558	0.185809	0.198640	0.206402	0.208202
