size	openmpMergeSort	openmpMergeSortIterative	parallelMergeSort	parallelMergeSortIterative	serialMergeSort	serialMergeSortIterative	tholderMergeSortIterative
2000	0.000280	0.000196	0.000454	0.001281	0.000139	0.000087	0.000392
3000	0.000299	0.000215	0.000465	0.001393	0.000210	0.000134	0.000432
4000	0.000319	0.000229	0.000487	0.001489	0.000290	0.000185	0.000455
5000	0.000340	0.000250	0.000501	0.001567	0.000361	0.000236	0.000491
6000	0.000358	0.000272	0.000512	0.001624	0.000441	0.000288	0.000492
7000	0.000379	0.000288	0.000531	0.001651	0.000548	0.000342	0.000518
8000	0.000399	0.000291	0.000533	0.001729	0.000608	0.000398	0.000549
9000	0.000418	0.000316	0.000554	0.001839	0.000684	0.000457	0.000573
10000	0.000438	0.000325	0.000570	0.001859	0.000775	0.000507	0.000616
15000	0.000559	0.000408	0.000638	0.002028	0.001179	0.000802	0.000683
20000	0.000652	0.000489	0.000691	0.002163	0.001563	0.001074	0.000798
25000	0.000789	0.000554	0.000771	0.002308	0.001983	0.001389	0.000901
30000	0.000934	0.000663	0.000855	0.002417	0.002391	0.001678	0.000987
